,name,reference product,location,unit
20183,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CZ,kilogram
20184,"clear-cutting, secondary forest to arable land, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",PE,kilogram
20185,"grass production, permanent grassland, organic, intensive","grass, organic",RoW,kilogram
20186,"treatment of used insulation spiral-seam duct, rockwool, DN 400, 30 mm","used insulation spiral-seam duct rockwool, DN 400",RoW,meter
20187,"land use change, annual crop","land use change, annual crop",BR-GO,hectare
20188,market for flax husks,flax husks,GLO,kilogram
20189,"treatment of municipal solid waste, open dump, hyperarid infiltration class (-250mm)",municipal solid waste,GLO,kilogram
20190,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage",LU,kilowatt hour
20191,"market group for electricity, medium voltage","electricity, medium voltage",BR,kilowatt hour
20192,"market for inorganic nitrogen fertiliser, as N","inorganic nitrogen fertiliser, as N",IL,kilogram
20193,chloropropionic acid production,chloropropionic acid,RoW,kilogram
20194,market for lithium hexafluorophosphate,lithium hexafluorophosphate,GLO,kilogram
20195,market for NPK (26-15-15) fertiliser,NPK (26-15-15) fertiliser,RER,kilogram
20196,market for oxalic acid,oxalic acid,GLO,kilogram
20197,"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",MK,kilogram
20198,"market for metal working, average for aluminium product manufacturing","metal working, average for aluminium product manufacturing",GLO,kilogram
20199,"treatment of bottom ash, MSWI-WWT, WW from glass production, slag compartment","bottom ash, MSWI-WWT, WW from glass production",GLO,kilogram
20200,"scandium oxide production, from rare earth tailings",sulfur,CN-NM,kilogram
20201,"market for cement, Portland","cement, Portland",ZA,kilogram
20202,chloroacetic acid production,chloroacetic acid,RoW,kilogram
20203,"transport, freight train","transport, freight train",BE,ton kilometer
20204,"blast furnace sludge, for recovery to generic market for supplementary cementitious materials",supplementary cementitious materials,RoW,kilogram
20205,market for ascorbic acid,ascorbic acid,GLO,kilogram
20206,multi-Si wafer production,multi-Si wafer,RER,square meter
20207,chlorosulfonic acid production,chlorosulfonic acid,RER,kilogram
20208,vegetable oil refinery construction,vegetable oil refinery,GLO,unit
20209,"electricity production, natural gas, conventional power plant","electricity, high voltage",CA-BC,kilowatt hour
20210,"market for distribution network, electricity, low voltage","distribution network, electricity, low voltage",GLO,kilometer
20211,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",CN-JS,kilowatt hour
20212,market for wastewater from liquid crystal display production,wastewater from liquid crystal display production,CH,cubic meter
20213,"maize grain processing, dry milling",maize flour,RoW,kilogram
20214,"electricity production, hard coal","electricity, high voltage",CN-SH,kilowatt hour
20215,"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","heat, district or industrial, natural gas",US-ASCC,megajoule
20216,"electricity, high voltage, renewable energy products, production mix","electricity, high voltage, renewable energy products",CH,kilowatt hour
20217,natural gas liquids production,"helium, crude",GLO,kilogram
20218,"transport, freight train, diesel","transport, freight train",CN,ton kilometer
20219,"market for tantalum powder, capacitor-grade","tantalum powder, capacitor-grade",GLO,kilogram
20220,"market for extrusion of plastic sheets and thermoforming, inline","extrusion of plastic sheets and thermoforming, inline",GLO,kilogram
20221,market for cobalt sulfate,cobalt sulfate,RoW,kilogram
20222,"treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration FAE","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
20223,market for 3-methyl-1-butyl acetate,3-methyl-1-butyl acetate,GLO,kilogram
20224,market for iron-nickel-chromium alloy,iron-nickel-chromium alloy,GLO,kilogram
20225,"sodium hypochlorite production, product in 15% solution state","sodium hypochlorite, without water, in 15% solution state",RER,kilogram
20226,water storage construction,water storage,CH,unit
20227,"strawberry seedling production, in unheated greenhouse, for planting","strawberry seedling, for planting",RoW,unit
20228,"lath, hardwood, raw, kiln drying to u=10%","sawnwood, lath, hardwood, raw, dried (u=10%)",CH,cubic meter
20229,"treatment of used internal combustion engine, passenger car, shredding","used internal combustion engine, passenger car",GLO,kilogram
20230,"market for electricity, medium voltage","electricity, medium voltage",ZA,kilowatt hour
20231,"market for containerboard, linerboard","containerboard, linerboard",CA-QC,kilogram
20232,"battery cell production, Li-ion, NMC811","battery cell, Li-ion, NMC811",CN,kilogram
20233,"market for process-specific burdens, residual material landfill","process-specific burdens, residual material landfill",RoW,kilogram
20234,"treatment of sewage sludge, 70% water, WWT, WW from particle board production, municipal incineration","heat, for reuse in municipal waste incineration only",RoW,megajoule
20235,"market for electricity, high voltage","electricity, high voltage",TJ,kilowatt hour
20236,"treatment of sewage sludge, 70% water, WWT, WW from CRT production, municipal incineration FAE","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
20237,"market for aluminium sulfate, without water, in 4.33% aluminium solution state","aluminium sulfate, without water, in 4.33% aluminium solution state",GLO,kilogram
20238,market for medium density fibreboard,medium density fibreboard,RER,cubic meter
20239,"tin plated chromium steel sheet production, 2 mm","tin plated chromium steel sheet, 2 mm",RoW,square meter
20240,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas",US-SERC,megajoule
20241,"laser machining, metal, with YAG-laser, 50W power","laser machining, metal, with YAG-laser, 50W power",CA-QC,hour
20242,"fatty alcohol production, from coconut oil",fatty alcohol,RER,kilogram
20243,"market for mounting, through-hole technology, Pb-containing solder","mounting, through-hole technology, Pb-containing solder",GLO,square meter
20244,chlorotoluron production,chlorotoluron,RER,kilogram
20245,"market for waste polyethylene terephthalate, for recycling, sorted","waste polyethylene terephthalate, for recycling, sorted",CH,kilogram
20246,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-RFC,megajoule
20247,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",BG,megajoule
20248,"water production, decarbonised","water, decarbonised",FR,kilogram
20249,"compressed air production, 600 kPa gauge, >30kW, optimized generation","compressed air, 600 kPa gauge",RoW,cubic meter
20250,"market for transport, freight, inland waterways, barge with reefer, cooling","transport, freight, inland waterways, barge with reefer, cooling",GLO,ton kilometer
20251,"steel production, electric, low-alloyed","steel, low-alloyed",RoW,kilogram
20252,"market for storage, 650 l mini CHP plant","storage, 650 l mini CHP plant",GLO,unit
20253,"electricity, high voltage, residual mix","electricity, high voltage",IE,kilowatt hour
20254,"land already in use, forest, intensive to pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-MG,kilogram
20255,"uranium production, centrifuge, enriched 3.8%","uranium, enriched 3.8%, per separative work unit",RoW,unit
20256,market for NPK (26-15-15) fertiliser,NPK (26-15-15) fertiliser,RNA,kilogram
20257,"ferroniobium production, from pyrochlore concentrate, 66% Nb","ferroniobium, 66% Nb",RoW,kilogram
20258,dimethyl ether production,dimethyl ether,RER,kilogram
20259,"market for transport, pipeline, long distance, natural gas","transport, pipeline, long distance, natural gas",RER,ton kilometer
20260,"clear-cutting, grassland to arable land, pasture, man made","land tenure, arable land, measured as carbon net primary productivity, pasture, man made",BR-AC,kilogram
20261,"cover plaster production, organic","cover plaster, organic",RoW,kilogram
20262,"market for disk drive, CD/DVD, ROM, for laptop computer","disk drive, CD/DVD, ROM, for laptop computer",GLO,unit
20263,"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future","heat, future",CH,megajoule
20264,"market for sawnwood, lath, hardwood, dried (u=20%), planed","sawnwood, lath, hardwood, dried (u=20%), planed",CH,cubic meter
20265,"market for slab and siding, softwood, wet, measured as dry mass","slab and siding, softwood, wet, measured as dry mass",RoW,kilogram
20266,"electricity, medium voltage, residual mix","electricity, medium voltage",GB,kilowatt hour
20267,"heat and power co-generation, oil","electricity, high voltage",RS,kilowatt hour
20268,"treatment of waste graphical paper, unsanitary landfill, moist infiltration class (300mm)",waste graphical paper,GLO,kilogram
20269,"treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery","electricity, medium voltage",RoW,kilowatt hour
20270,"sawing, hardwood","sawnwood, hardwood, raw",RoW,cubic meter
20271,"energy and auxilliary inputs, metal working machine, with process heat from natural gas","energy and auxilliary inputs, metal working machine",RoW,kilogram
20272,"treatment of waste polyethylene, for recycling, unsorted, sorting","waste polyethylene, for recycling, sorted",RoW,kilogram
20273,"impact extrusion of aluminium, 3 strokes","impact extrusion of aluminium, 3 strokes",RER,kilogram
20274,"market for electricity, low voltage","electricity, low voltage",TM,kilowatt hour
20275,"barley production, Swiss integrated production, extensive",straw,CH,kilogram
20276,clinker production,pyrite ash,RoW,kilogram
20277,market for liquefied petroleum gas,liquefied petroleum gas,RoW,kilogram
20278,washing machine production,washing machine,GLO,unit
20279,"light fuel oil production, petroleum refinery operation",light fuel oil,Europe without Switzerland,kilogram
20280,"treatment of sewage sludge, 97% water, WWT[U], WW from lorry production, landfarming","sewage sludge, 97% water, WWT[U], WW from lorry production",RoW,kilogram
20281,"powertrain production, for electric scooter","powertrain, for electric scooter",GLO,kilogram
20282,"cocoa bean production, sun-dried",cocoa bean,RoW,kilogram
20283,"land use change, annual crop","land use change, annual crop",IT,hectare
20284,maize grain production,maize grain,IN,kilogram
20285,stucco production,stucco,CH,kilogram
20286,"red kidney bean seed production, for sowing","red kidney bean seed, for sowing",GLO,kilogram
20287,"market for electricity, high voltage","electricity, high voltage",NL,kilowatt hour
20288,"treatment of used double glazing, U<1.1W/m2K, laminated safety glass, collection for final disposal","used double glazing, U<1.1W/m2K, laminated safety glass",CH,square meter
